,SUBJECT_16
training duration,2816.774628162384
,train,valid,test
logloss,0.26198909170945234,0.2657258092509627,0.690331451496537
accuracy,0.9612427593470247,0.9639810426540284,0.7651715039577837
macro-precision,0.899381323808471,0.9151964105886683,0.8683051517662123
macro-recall,0.872492598286973,0.8505333016449169,0.7943068747173224
macro-f1,0.8814452010357369,0.8712004860958406,0.8206936385127874
weighted-f1,0.960592272912376,0.9630383546867097,0.7653274449995946
micro-f1,0.9612427593470247,0.9639810426540284,0.7651715039577837
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9993355481727575,0.9977711738484397,0.9987760097919216,0.9169675090252709,0.926717992586256,0.996186564975066,0.8907563025210085,0.888888888888889,0.6308724832214765,0.8169014084507041,0.7222222222222222,0.7919463087248321
valid,1.0,0.9966555183946488,1.0,0.9244186046511628,0.9326424870466321,0.9947368421052631,0.9333333333333333,0.8,0.6666666666666666,0.625,0.8666666666666666,0.7142857142857143
test,1.0,1.0,1.0,0.35555555555555557,0.4625,0.9929078014184397,0.6666666666666666,missed_category,0.8,1.0,0.75,1.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1343.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1397.0,162.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,84.0,1625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,0.0,0.0,0.0,0.0,1.0
STAND_TO_SIT,0.0,1.0,0.0,1.0,4.0,0.0,53.0,1.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0
SIT_TO_LIE,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,47.0,0.0,38.0,0.0
LIE_TO_SIT,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,13.0
STAND_TO_LIE,1.0,2.0,1.0,2.0,2.0,7.0,5.0,1.0,8.0,0.0,91.0,1.0
LIE_TO_STAND,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,59.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,159.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,10.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0
LIE_TO_SIT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,51.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,51.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,47.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,24.0,43.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,43.0,37.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,70.0,0.0,missed_category,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,1.0,0.0,0.0,1.0,missed_category,0.0,0.0,0.0,0.0
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,0,missed_category,2,0,1,0
LIE_TO_SIT,0,0,0,0,0,0,0,missed_category,0,2,0,0
STAND_TO_LIE,0,0,0,0,0,1,0,missed_category,0,0,3,0
LIE_TO_STAND,0,0,0,0,0,0,0,missed_category,0,0,0,2
,index,real_category,predicted_category
0,21,3,4
1,22,3,4
2,23,3,4
3,24,3,4
4,25,3,4
5,73,3,4
6,186,4,3
7,187,4,3
8,188,4,3
9,189,4,3
10,190,4,3
11,191,4,3
12,192,4,3
13,193,4,3
14,194,4,3
15,195,4,3
16,196,4,3
17,197,4,3
18,198,4,3
19,199,4,3
20,200,4,3
21,201,4,3
22,202,4,3
23,203,4,3
24,204,4,3
25,205,4,3
26,206,4,3
27,207,4,3
28,208,4,3
29,209,4,3
30,210,4,3
31,211,6,3
32,212,3,4
33,213,3,4
34,214,3,4
35,215,3,4
36,216,3,4
37,217,3,4
38,218,3,4
39,219,3,4
40,220,3,4
41,221,3,4
42,222,3,4
43,223,3,4
44,224,3,4
45,225,3,4
46,226,3,4
47,227,3,4
48,228,3,4
49,229,3,4
50,230,3,4
51,231,3,4
52,232,3,4
53,233,3,4
54,234,4,3
55,235,4,3
56,236,4,3
57,237,4,3
58,238,4,3
59,239,4,3
60,240,4,3
61,241,4,3
62,242,4,3
63,243,4,3
64,244,4,3
65,245,4,3
66,246,4,3
67,247,4,3
68,248,4,3
69,249,4,3
70,250,4,3
71,251,4,3
72,253,10,5
73,274,3,4
74,275,3,4
75,276,3,4
76,277,3,4
77,278,3,4
78,279,3,4
79,280,3,4
80,281,3,4
81,282,3,4
82,283,3,4
83,284,3,4
84,285,3,4
85,286,3,4
86,287,3,4
87,288,3,4
88,289,8,10
