,SUBJECT_25
training duration,2665.1959698200226
,train,valid,test
logloss,0.522460523921387,0.5448444475446429,0.8538224180722567
accuracy,0.8464796188459502,0.8352380952380952,0.7672811059907834
macro-precision,0.8663165677583707,0.849082524783544,0.8374326822602685
macro-recall,0.8855991835266809,0.8596802864032177,0.8656844305120167
macro-f1,0.8622600991460715,0.8385602986775692,0.8029828773386143
weighted-f1,0.8299413246481129,0.817936916175463,0.7584072351790502
micro-f1,0.8464796188459502,0.8352380952380952,0.7672811059907834
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.8241178105029174,0.9895910780669145,0.8407202216066482,0.8585331942996177,0.5168905168905169,0.9805965826817261,0.9206349206349207,0.9642857142857143,0.8852459016393442,0.8783783783783783,0.8248175182481753,0.8633093525179857
valid,0.8088235294117647,0.9899665551839464,0.8437499999999999,0.8343949044585988,0.5037037037037038,0.9714285714285714,0.8571428571428571,1.0,0.8421052631578948,0.823529411764706,0.7878787878787878,0.7999999999999999
test,0.6491228070175439,0.9923664122137404,0.9827586206896551,0.5494505494505494,0.48148148148148145,0.9361702127659575,1.0,1.0,1.0,0.888888888888889,0.6,0.5555555555555556
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,57.0,0.0,72.0,1235.0,108.0,63.0,7.0,0.0,0.0,0.0,19.0,0.0
STANDING,576.0,28.0,388.0,80.0,635.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1693.0,0.0,0.0,0.0,0.0,1.0,1.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,0.0,12.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,7.0
STAND_TO_LIE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,113.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,60.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,7.0,0.0,10.0,131.0,12.0,10.0,1.0,0.0,0.0,0.0,3.0,0.0
STANDING,71.0,2.0,40.0,9.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,1.0,0.0
STAND_TO_SIT,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SITTING,33.0,0.0,0.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
STANDING,47.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,3.0,6.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
,index,real_category,predicted_category
0,1,4,0
1,2,4,0
2,3,4,0
3,4,4,0
4,5,4,0
5,6,4,0
6,9,4,0
7,10,4,0
8,11,4,0
9,13,4,0
10,14,4,0
