,SUBJECT_3
training duration,2740.9227859973907
,train,valid,test
logloss,0.1828076264265019,0.21624504674011058,0.14724077952605436
accuracy,0.9546935772101335,0.9536423841059603,0.9805013927576601
macro-precision,0.9299745015202275,0.8970610135617227,0.8678062678062678
macro-recall,0.9065302024026933,0.869214062618668,0.9086538461538461
macro-f1,0.9048874383511137,0.8475259098277256,0.8791045470732971
weighted-f1,0.9546110971827205,0.9528003131781768,0.980086074750072
micro-f1,0.9546935772101335,0.9536423841059603,0.9805013927576601
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9800457965325482,1.0,1.0,0.899400399733511,0.9104903078677309,0.9976498237367801,0.9026548672566372,0.9824561403508771,0.6853146853146853,0.8795180722891566,0.7423312883435583,0.8787878787878788
valid,0.9910447761194029,1.0,0.9927007299270074,0.9156626506024097,0.9191919191919192,0.9920424403183024,0.923076923076923,0.8571428571428571,0.42857142857142855,0.8,0.6842105263157895,0.6666666666666666
test,1.0,1.0,1.0,0.9494949494949495,0.9843749999999999,1.0,1.0,1.0,0.0,1.0,0.6153846153846153,1.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,19.0,0.0,0.0,1350.0,185.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0
STANDING,42.0,0.0,0.0,78.0,1597.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,0.0,0.0,0.0,7.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,1.0,0.0,51.0,0.0,0.0,2.0,7.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,45.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,58.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,152.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,3.0,0.0,0.0,5.0,182.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,1.0,2.0,0.0
STAND_TO_SIT,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
