,SUBJECT_7
training duration,2825.035511732101
,train,valid,test
logloss,0.25020364227438735,0.2851001574270245,0.19727942028885367
accuracy,0.9456487590323595,0.928436911487759,0.9685534591194969
macro-precision,0.9134067853990122,0.8308803435114168,0.7148991541964868
macro-recall,0.9148963376196653,0.8336183347302221,0.778709076581417
macro-f1,0.9054019750000041,0.8139687074604268,0.7243995608887929
weighted-f1,0.9456579000810013,0.9289196620573513,0.9679033318787063
micro-f1,0.9456487590323595,0.928436911487759,0.9685534591194969
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9593339737431956,0.9974025974025974,0.9927007299270074,0.8961564396493594,0.8849710982658959,0.9959088252483927,0.8837209302325582,0.9310344827586207,0.8025477707006369,0.8941176470588235,0.7414330218068536,0.8854961832061068
valid,0.9653179190751445,1.0,0.9927007299270074,0.8700906344410877,0.8704663212435233,0.9894179894179894,0.8571428571428571,1.0,0.4285714285714285,0.631578947368421,0.5909090909090909,0.5714285714285715
test,0.9913043478260869,1.0,1.0,0.967032967032967,0.9719626168224299,1.0,missed_category,missed_category,0.0,0.0,0.6666666666666666,0.5714285714285715
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,18.0,0.0,0.0,1329.0,197.0,0.0,5.0,0.0,0.0,3.0,26.0,0.0
STANDING,109.0,7.0,16.0,58.0,1531.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,1704.0,0.0,0.0,0.0,0.0,13.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,6.0,0.0
SIT_TO_STAND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,29.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0
STAND_TO_LIE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0,0.0
LIE_TO_STAND,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,58.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,1.0,0.0,0.0,144.0,25.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0
STANDING,11.0,0.0,2.0,11.0,168.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,4.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
